Date,Id,accounting standards
2012,95,IFRS
2013,95,IFRS
2014,95,IFRS
2015,95,IFRS
2016,95,IFRS
2017,95,IFRS
2018,95,IFRS
2019,95,IFRS
2020,95,IFRS
2008,96,IFRS
2009,96,IFRS
2010,96,IFRS
2011,96,IFRS
2012,96,IFRS
2013,96,IFRS
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,IFRS
2009,97,IFRS
2010,97,IFRS
2011,97,IFRS
2012,97,IFRS
2013,97,IFRS
2014,97,IFRS
2015,97,IFRS
2016,97,IFRS
2017,97,IFRS
2018,97,IFRS
2019,97,IFRS
2020,97,IFRS
2008,98,IFRS
2009,98,IFRS
2010,98,IFRS
2011,98,IFRS
2012,98,IFRS
2013,98,IFRS
2014,98,IFRS
2015,98,IFRS
2016,98,IFRS
2017,98,IFRS
2018,98,IFRS
2019,98,IFRS
2020,98,IFRS
2008,99,IFRS
2009,99,IFRS
2010,99,IFRS
2011,99,IFRS
2012,99,IFRS
2013,99,IFRS
2014,99,IFRS
2015,99,IFRS
2016,99,IFRS
2017,99,IFRS
2018,99,
2019,99,
2020,99,
2008,100,IFRS
2009,100,IFRS
2010,100,IFRS
2011,100,IFRS
2012,100,IFRS
2013,100,IFRS
2014,100,IFRS
2015,100,IFRS
2016,100,IFRS
2017,100,IFRS
2018,100,IFRS
2019,100,IFRS
2020,100,IFRS
2008,101,IFRS
2009,101,IFRS
2010,101,IFRS
2011,101,IFRS
2012,101,IFRS
2013,101,IFRS
2014,101,IFRS
2015,101,IFRS
2016,101,IFRS
2017,101,IFRS
2018,101,IFRS
2019,101,IFRS
2020,101,IFRS
2008,102,IFRS
2009,102,IFRS
2010,102,IFRS
2011,102,IFRS
2012,102,IFRS
2013,102,IFRS
2014,102,IFRS
2015,102,IFRS
2016,102,IFRS
2017,102,IFRS
2018,102,IFRS
2019,102,IFRS
2020,102,IFRS
2008,103,IFRS
2009,103,IFRS
2010,103,IFRS
2011,103,IFRS
2012,103,IFRS
2013,103,IFRS
2014,103,IFRS
2015,103,IFRS
2016,103,IFRS
2017,103,IFRS
2018,103,IFRS
2019,103,
2020,103,
2008,104,IFRS
2009,104,IFRS
2010,104,IFRS
2011,104,IFRS
2012,104,IFRS
2013,104,IFRS
2014,104,IFRS
2015,104,IFRS
2016,104,IFRS
2017,104,IFRS
2018,104,IFRS
2019,104,IFRS
2020,104,IFRS
2008,105,IFRS
2009,105,IFRS
2010,105,IFRS
2011,105,IFRS
2012,105,IFRS
2013,105,IFRS
2014,105,IFRS
2015,105,IFRS
2016,105,IFRS
2017,105,IFRS
2018,105,IFRS
2019,105,IFRS
2020,105,IFRS
2008,106,IFRS
2009,106,IFRS
2010,106,IFRS
2011,106,IFRS
2012,106,IFRS
2013,106,IFRS
2014,106,IFRS
2015,106,IFRS
2016,106,IFRS
2017,106,IFRS
2018,106,IFRS
2019,106,IFRS
2020,106,IFRS
2008,107,IFRS
2009,107,IFRS
2010,107,IFRS
2011,107,IFRS
2012,107,IFRS
2013,107,IFRS
2014,107,IFRS
2015,107,IFRS
2016,107,IFRS
2017,107,IFRS
2018,107,IFRS
2019,107,IFRS
2020,107,IFRS
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,IFRS
2014,108,IFRS
2015,108,IFRS
2016,108,IFRS
2017,108,IFRS
2018,108,IFRS
2019,108,IFRS
2020,108,IFRS
2008,109,
2009,109,IFRS
2010,109,IFRS
2011,109,IFRS
2012,109,IFRS
2013,109,IFRS
2014,109,IFRS
2015,109,IFRS
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,IFRS
2009,110,IFRS
2010,110,IFRS
2011,110,IFRS
2012,110,IFRS
2013,110,IFRS
2014,110,IFRS
2015,110,IFRS
2016,110,IFRS
2017,110,IFRS
2018,110,IFRS
2019,110,IFRS
2020,110,IFRS
2008,111,IFRS
2009,111,IFRS
2010,111,IFRS
2011,111,IFRS
2012,111,IFRS
2013,111,IFRS
2014,111,IFRS
2015,111,IFRS
2016,111,IFRS
2017,111,IFRS
2018,111,IFRS
2019,111,IFRS
