Date,Id,other proceeds
2016,139,9264
2017,139,9440
2018,139,20906
2019,139,1766
2020,139,4222
2008,140,12387
2009,140,7176
2010,140,0
2011,140,0
2012,140,0
2013,140,0
2014,140,14685
2015,140,0
2016,140,0
2017,140,0
2018,140,0
2019,140,
2020,140,
2008,141,0
2009,141,0
2010,141,0
2011,141,0
2012,141,0
2013,141,0
2014,141,0
2015,141,0
2016,141,0
2017,141,0
2018,141,0
2019,141,0
2020,141,0
2008,142,0
2009,142,373
2010,142,0
2011,142,1200
2012,142,0
2013,142,0
2014,142,0
2015,142,0
2016,142,0
2017,142,0
2018,142,0
2019,142,0
2020,142,0
2008,143,0
2009,143,0
2010,143,2541
2011,143,0
2012,143,0
2013,143,0
2014,143,0
2015,143,0
2016,143,0
2017,143,0
2018,143,0
2019,143,0
2020,143,
2008,144,
2009,144,
2010,144,0
2011,144,0
2012,144,0
2013,144,0
2014,144,0
2015,144,0
2016,144,0
2017,144,46192
2018,144,0
2019,144,0
2020,144,0
2008,145,0
2009,145,1200
2010,145,3242
2011,145,0
2012,145,0
2013,145,0
2014,145,0
2015,145,0
2016,145,0
2017,145,0
2018,145,0
2019,145,0
2020,145,
2008,146,0
2009,146,0
2010,146,0
2011,146,0
2012,146,0
2013,146,0
2014,146,0
2015,146,0
2016,146,0
2017,146,0
2018,146,0
2019,146,0
2020,146,0
2008,147,0
2009,147,0
2010,147,0
2011,147,0
2012,147,0
2013,147,0
2014,147,46482
2015,147,0
2016,147,0
2017,147,0
2018,147,0
2019,147,0
2020,147,0
2008,148,0
2009,148,0
2010,148,2493
2011,148,22
2012,148,0
2013,148,0
2014,148,0
2015,148,0
2016,148,0
2017,148,0
2018,148,0
2019,148,0
2020,148,
2008,149,
2009,149,434
2010,149,189
2011,149,580
2012,149,0
2013,149,722
2014,149,3404
2015,149,0
2016,149,80
2017,149,0
2018,149,110
2019,149,0
2020,149,
2008,150,0
2009,150,
2010,150,243400
2011,150,0
2012,150,0
2013,150,0
2014,150,0
2015,150,0
2016,150,20200
2017,150,0
2018,150,0
2019,150,0
2020,150,0
2008,151,
2009,151,
2010,151,
2011,151,1203
2012,151,0
2013,151,10558
2014,151,20492
2015,151,0
2016,151,12814
2017,151,0
2018,151,0
2019,151,0
2020,151,0
2008,152,
2009,152,
2010,152,
2011,152,
2012,152,
2013,152,
2014,152,0
2015,152,0
2016,152,0
2017,152,450
2018,152,300
2019,152,1744
2020,152,0
2008,153,0
2009,153,0
2010,153,0
2011,153,0
2012,153,0
2013,153,0
2014,153,0
2015,153,0
2016,153,0
2017,153,0
2018,153,0
2019,153,0
2020,153,0
2008,154,
2009,154,
2010,154,
2011,154,
2012,154,
2013,154,0
2014,154,6517
2015,154,0
2016,154,0
2017,154,0
2018,154,0
2019,154,0
2020,154,0
2008,155,
2009,155,
2010,155,
2011,155,
2012,155,
2013,155,
2014,155,5926
2015,155,0
