Date,Id,Net_income
2009,129,20727
2010,129,27565
2011,129,40357
2012,129,31751
2013,129,24754
2014,129,27362
2015,129,29229
2016,129,42049
2017,129,50105
2018,129,
2019,129,
2020,129,
2008,130,77544
2009,130,87756
2010,130,94592
2011,130,72956
2012,130,75665
2013,130,74956
2014,130,80636
2015,130,93228
2016,130,77968
2017,130,64975
2018,130,88349
2019,130,
2020,130,
2008,131,2660
2009,131,2693
2010,131,3535
2011,131,4351
2012,131,6353
2013,131,2755
2014,131,4199
2015,131,8498
2016,131,9814
2017,131,10550
2018,131,14596
2019,131,14149
2020,131,-12470
2008,132,715183
2009,132,689865
2010,132,682952
2011,132,830312
2012,132,808078
2013,132,637677
2014,132,740252
2015,132,852527
2016,132,1121838
2017,132,1171783
2018,132,818041
2019,132,136000
2020,132,-1177000
2008,133,3750
2009,133,-19803
2010,133,10662
2011,133,-4686
2012,133,-47942
2013,133,-32747
2014,133,-41796
2015,133,-81385
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,42672
2009,134,88661
2010,134,104435
2011,134,103629
2012,134,377709
2013,134,92368
2014,134,99786
2015,134,108121
2016,134,95527
2017,134,150120
2018,134,166544
2019,134,76279
2020,134,108837
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,2223
2013,135,3924
2014,135,6873
2015,135,6957
2016,135,11311
2017,135,15969
2018,135,17927
2019,135,20852
2020,135,-13590
2008,136,3748
2009,136,-5378
2010,136,-204
2011,136,-2965
2012,136,2027
2013,136,-1576
2014,136,1925
2015,136,9105
2016,136,12539
2017,136,11297
2018,136,9174
2019,136,-1513
2020,136,14970
2008,137,3075
2009,137,1668
2010,137,2615
2011,137,3626
2012,137,4345
2013,137,4513
2014,137,4533
2015,137,4977
2016,137,6117
2017,137,6231
2018,137,9323
2019,137,8612
2020,137,1917
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
2014,138,
2015,138,
2016,138,
2017,138,
2018,138,
2019,138,
2020,138,
