Date,Id,market value
2015,117,69.6
2016,117,58.31
2017,117,54.08
2018,117,44.55
2019,117,42.51
2020,117,48.64
2008,118,100.8
2009,118,92.82
2010,118,179.13
2011,118,67.97
2012,118,98.69
2013,118,139.26
2014,118,87.38
2015,118,88.58
2016,118,71.28
2017,118,298.58
2018,118,133.92
2019,118,176.97
2020,118,123.08
2008,119,334.3
2009,119,359
2010,119,556.19
2011,119,507.39
2012,119,630.96
2013,119,949.43
2014,119,1268.44
2015,119,1559.15
2016,119,1693.07
2017,119,2854.81
2018,119,2830.86
2019,119,3074.75
2020,119,4392.19
2008,120,
2009,120,
2010,120,
2011,120,
2012,120,
2013,120,
2014,120,1300.39
2015,120,677.35
2016,120,800.2
2017,120,2118.53
2018,120,1560.13
2019,120,1565.38
2020,120,932.26
2008,121,
2009,121,
2010,121,
2011,121,
2012,121,
2013,121,11175.36
2014,121,9073.1
2015,121,8630.79
2016,121,11264.44
2017,121,15240.36
2018,121,10707.82
2019,121,13357.48
2020,121,14087.44
2008,122,308.03
2009,122,710.89
2010,122,979.06
2011,122,666.74
2012,122,889.13
2013,122,1019.94
2014,122,841.3
2015,122,719.48
2016,122,789.38
2017,122,809.82
2018,122,623.82
2019,122,669.61
2020,122,587.85
2008,123,
2009,123,
2010,123,
2011,123,
2012,123,
2013,123,
2014,123,10.62
2015,123,18.05
2016,123,12.76
2017,123,11.23
2018,123,122.7
2019,123,92.03
2020,123,47.72
2008,124,
2009,124,
2010,124,
2011,124,
2012,124,
2013,124,
2014,124,
2015,124,9.97
2016,124,4.87
2017,124,23.47
