Date,Id,operating income
2013,125,
2014,125,
2015,125,12193
2016,125,16950
2017,125,13092
2018,125,19247
2019,125,26223
2020,125,15475
2008,126,-102411
2009,126,88395
2010,126,82181
2011,126,-52685
2012,126,-56346
2013,126,-34682
2014,126,-73328
2015,126,-3691
2016,126,-1943
2017,126,-5234
2018,126,-5367
2019,126,-6081
2020,126,-6193
2008,127,2490
2009,127,21389
2010,127,19635
2011,127,11038
2012,127,-5680
2013,127,13544
2014,127,15890
2015,127,12939
2016,127,25937
2017,127,26731
2018,127,34756
2019,127,27866
2020,127,7560
2008,128,196359
2009,128,237205
2010,128,261442
2011,128,280852
2012,128,313226
2013,128,314029
2014,128,321628
2015,128,358581
2016,128,355570
2017,128,368965
2018,128,428224
2019,128,
2020,128,
2008,129,13419
2009,129,20067
2010,129,26831
2011,129,27245
2012,129,26782
2013,129,35608
2014,129,35028
2015,129,42942
2016,129,54286
2017,129,54003
2018,129,
2019,129,
2020,129,
2008,130,103879
2009,130,113963
2010,130,120859
2011,130,108934
2012,130,98125
2013,130,103452
2014,130,118823
2015,130,124483
2016,130,115549
2017,130,86448
2018,130,98983
2019,130,
2020,130,
2008,131,3802
2009,131,5184
2010,131,6890
2011,131,7973
2012,131,7549
2013,131,4519
2014,131,6005
2015,131,11461
2016,131,15006
2017,131,16280
2018,131,21265
2019,131,21316
2020,131,-16087
2008,132,1604590
2009,132,1682458
2010,132,1768406
2011,132,1819794
2012,132,1724706
2013,132,1869778
2014,132,1937427
2015,132,2217100
2016,132,2295420
2017,132,2492230
2018,132,2250487
2019,132,1757000
2020,132,62000
2008,133,15897
2009,133,1683
2010,133,17626
2011,133,5918
2012,133,-3796
2013,133,-21498
2014,133,-23704
2015,133,-25218
2016,133,
2017,133,
2018,133,
2019,133,
2020,133,
2008,134,207149
2009,134,248853
2010,134,272620
2011,134,291759
2012,134,320701
2013,134,317888
2014,134,325362
2015,134,352750
2016,134,350446
2017,134,372377
2018,134,439238
2019,134,389178
2020,134,296509
2008,135,
2009,135,
2010,135,
2011,135,
2012,135,5863
2013,135,7322
2014,135,11306
2015,135,13415
2016,135,16413
2017,135,22015
2018,135,24275
2019,135,29921
2020,135,-18478
2008,136,11524
2009,136,-2448
2010,136,2961
2011,136,-442
2012,136,6020
2013,136,1127
2014,136,6703
2015,136,10861
2016,136,15593
2017,136,10771
2018,136,-6237
2019,136,-2700
2020,136,17954
2008,137,4871
2009,137,2433
2010,137,3937
2011,137,5412
2012,137,6208
2013,137,6781
2014,137,6390
2015,137,7445
2016,137,8366
2017,137,8192
2018,137,8825
2019,137,10055
2020,137,2348
2008,138,
2009,138,
2010,138,
2011,138,
2012,138,
2013,138,
